cluster,per90_gls,per90_ast,per90_xg,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,carries,age,cluster_size
0,0.28411764705882353,0.22058823529411764,0.2888235294117647,40.54117647058823,28.607843137254903,31.414,487.7843137254902,23.92156862745098,51
1,0.10944444444444444,0.11,0.11388888888888887,50.74444444444444,66.0,44.53888888888889,799.5555555555555,26.083333333333332,36
2,0.03170731707317073,0.020975609756097562,0.041707317073170734,55.597500000000004,52.46341463414634,63.178048780487806,860.219512195122,25.29268292682927,41
3,0.369375,0.10916666666666668,0.44604166666666667,35.84791666666667,16.458333333333332,43.018750000000004,260.0416666666667,25.270833333333332,48
4,0.15941176470588236,0.15294117647058825,0.17,45.205882352941174,45.411764705882355,45.023529411764706,608.8823529411765,23.294117647058822,17
5,0.03264705882352942,0.02323529411764706,0.04205882352941176,64.9375,55.94117647058823,60.1764705882353,625.1470588235294,25.558823529411764,34
6,0.04512820512820513,0.045384615384615384,0.058461538461538454,45.42368421052631,55.48717948717949,47.671052631578945,406.0,23.307692307692307,39
7,0.023529411764705882,0.03705882352941176,0.037647058823529415,42.0,47.970588235294116,50.42941176470588,416.05882352941177,25.264705882352942,34
8,0.07476190476190477,0.09047619047619049,0.0819047619047619,44.69047619047619,69.95238095238095,51.55238095238095,618.8571428571429,26.428571428571427,21
9,0.14750000000000002,0.187,0.14100000000000001,46.55,45.5,39.025,614.25,26.45,20
