cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age,cluster_size
0,0.10112345057978304,0.0863128845933713,0.113455922404407,0.6529607218493787,0.706470943977129,0.5036644147523772,0.32625055334218683,0.3751209947630983,43
1,0.5829889252679227,0.5354529732606094,0.7717369459606825,0.13231730564526567,0.37459010142606575,0.0,0.28032672178668844,0.08407064412848153,31
2,0.3170641523386948,0.5905281362245577,0.6463289608580217,0.5083196738989778,1.0,0.3152838583999015,1.0,0.310565635005336,12
3,0.21102084760692963,0.18232398719764614,0.26314796573975135,0.1422074560904738,0.8421638158809622,0.25503708209920256,0.4874879566700518,0.0,34
4,0.05636696041576796,0.11660975862119935,0.42719113003805836,0.18572876676875308,0.7407407407407407,0.3439537839476008,0.3400226255471939,0.6230285782046723,27
5,0.854300803009477,1.0,1.0,0.1912425521699746,0.4633569739952718,0.09811464701365272,0.43156841234097437,0.0999489582849986,23
6,1.0,0.38858587202341355,0.34409758751164826,0.0,0.21672214985284893,0.21969655493563794,0.07083683406961727,0.41831289612963657,49
7,0.1894149481503891,0.2717597687665534,0.2865305615233325,0.3080063565386862,0.7822909950569524,0.32377276701272195,0.6172884220692986,0.48374890850878055,33
8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,24
9,0.07164826299601673,0.04255808047214194,0.23288509287825812,0.4473137306970625,0.7474747474747474,0.5715613043059115,0.6391806511328424,0.543126030852818,33
10,0.5197587354409318,0.7067979247040042,0.6928839935858679,0.22486372018289263,0.5827423167848699,0.10982393066927286,0.5312084993359895,0.4829242262540022,24
11,0.21147046589018303,0.34957429825728353,0.5358363344812177,0.1977169423715654,0.8374704491725768,0.3890545996928385,0.5354138999557326,0.5350853788687298,32
