method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
isomap,joueurs_ligue1_ISOMap_custom,1.2586078468106978,5,,,,1,74
isomap,joueurs_ligue1_ISOMap_custom,1.3462881145890713,5,0.10252836455779263,3.8953246856788444,1.2171815799791954,2,61
isomap,joueurs_ligue1_ISOMap_custom,1.4339683823674447,5,,,,1,48
isomap,joueurs_ligue1_ISOMap_custom,1.5216486501458182,5,0.22479924523652997,10.522664921627152,0.9718642244284673,2,27
isomap,joueurs_ligue1_ISOMap_custom,1.6093289179241916,5,,,,1,19
isomap,joueurs_ligue1_ISOMap_custom,1.697009185702565,5,,,,1,16
isomap,joueurs_ligue1_ISOMap_custom,1.7846894534809383,5,,,,1,10
isomap,joueurs_ligue1_ISOMap_custom,1.8723697212593118,5,,,,1,9
isomap,joueurs_ligue1_ISOMap_custom,1.9600499890376852,5,,,,1,5
isomap,joueurs_ligue1_ISOMap_custom,2.0477302568160587,5,,,,1,5
isomap,joueurs_ligue1_ISOMap_custom,2.135410524594432,5,,,,1,4
isomap,joueurs_ligue1_ISOMap_custom,2.2230907923728056,5,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,2.310771060151179,5,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,2.3984513279295525,5,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,2.486131595707926,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom,1.2586078468106978,7,0.14688082713103964,17.05423965770238,1.1579171816584202,2,80
isomap,joueurs_ligue1_ISOMap_custom,1.3462881145890713,7,,,,1,65
isomap,joueurs_ligue1_ISOMap_custom,1.4339683823674447,7,,,,1,52
isomap,joueurs_ligue1_ISOMap_custom,1.5216486501458182,7,,,,1,40
isomap,joueurs_ligue1_ISOMap_custom,1.6093289179241916,7,,,,1,23
isomap,joueurs_ligue1_ISOMap_custom,1.697009185702565,7,,,,1,18
isomap,joueurs_ligue1_ISOMap_custom,1.7846894534809383,7,,,,1,14
isomap,joueurs_ligue1_ISOMap_custom,1.8723697212593118,7,,,,1,11
isomap,joueurs_ligue1_ISOMap_custom,1.9600499890376852,7,,,,1,9
isomap,joueurs_ligue1_ISOMap_custom,2.0477302568160587,7,,,,1,8
isomap,joueurs_ligue1_ISOMap_custom,2.135410524594432,7,,,,1,4
isomap,joueurs_ligue1_ISOMap_custom,2.2230907923728056,7,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,2.310771060151179,7,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,2.3984513279295525,7,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,2.486131595707926,7,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom,1.2586078468106978,10,0.16366127749569298,15.741246273848223,1.0653119411203649,2,96
isomap,joueurs_ligue1_ISOMap_custom,1.3462881145890713,10,0.14082587536902527,16.546913676378768,1.1746728374975113,2,74
isomap,joueurs_ligue1_ISOMap_custom,1.4339683823674447,10,,,,1,61
isomap,joueurs_ligue1_ISOMap_custom,1.5216486501458182,10,,,,1,45
isomap,joueurs_ligue1_ISOMap_custom,1.6093289179241916,10,,,,1,35
isomap,joueurs_ligue1_ISOMap_custom,1.697009185702565,10,,,,1,27
isomap,joueurs_ligue1_ISOMap_custom,1.7846894534809383,10,,,,1,16
isomap,joueurs_ligue1_ISOMap_custom,1.8723697212593118,10,,,,1,13
isomap,joueurs_ligue1_ISOMap_custom,1.9600499890376852,10,,,,1,12
isomap,joueurs_ligue1_ISOMap_custom,2.0477302568160587,10,,,,1,12
isomap,joueurs_ligue1_ISOMap_custom,2.135410524594432,10,,,,1,10
isomap,joueurs_ligue1_ISOMap_custom,2.2230907923728056,10,,,,1,5
isomap,joueurs_ligue1_ISOMap_custom,2.310771060151179,10,,,,1,5
isomap,joueurs_ligue1_ISOMap_custom,2.3984513279295525,10,,,,1,4
isomap,joueurs_ligue1_ISOMap_custom,2.486131595707926,10,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom,1.2586078468106978,15,0.19711332032245893,34.22780649353666,1.3505143588732405,2,139
isomap,joueurs_ligue1_ISOMap_custom,1.3462881145890713,15,,,,1,106
isomap,joueurs_ligue1_ISOMap_custom,1.4339683823674447,15,,,,1,87
isomap,joueurs_ligue1_ISOMap_custom,1.5216486501458182,15,,,,1,71
isomap,joueurs_ligue1_ISOMap_custom,1.6093289179241916,15,,,,1,50
isomap,joueurs_ligue1_ISOMap_custom,1.697009185702565,15,,,,1,37
isomap,joueurs_ligue1_ISOMap_custom,1.7846894534809383,15,,,,1,26
isomap,joueurs_ligue1_ISOMap_custom,1.8723697212593118,15,,,,1,20
isomap,joueurs_ligue1_ISOMap_custom,1.9600499890376852,15,,,,1,14
isomap,joueurs_ligue1_ISOMap_custom,2.0477302568160587,15,,,,1,13
isomap,joueurs_ligue1_ISOMap_custom,2.135410524594432,15,,,,1,10
isomap,joueurs_ligue1_ISOMap_custom,2.2230907923728056,15,,,,1,8
isomap,joueurs_ligue1_ISOMap_custom,2.310771060151179,15,,,,1,7
isomap,joueurs_ligue1_ISOMap_custom,2.3984513279295525,15,,,,1,6
isomap,joueurs_ligue1_ISOMap_custom,2.486131595707926,15,,,,1,4
isomap,joueurs_ligue1_ISOMap_custom,1.2586078468106978,20,0.2955510714100533,55.2281697967116,1.1091996474368688,4,215
isomap,joueurs_ligue1_ISOMap_custom,1.3462881145890713,20,0.18807228258674483,31.894296272149017,1.3606708048977767,2,141
isomap,joueurs_ligue1_ISOMap_custom,1.4339683823674447,20,,,,1,110
isomap,joueurs_ligue1_ISOMap_custom,1.5216486501458182,20,,,,1,84
isomap,joueurs_ligue1_ISOMap_custom,1.6093289179241916,20,,,,1,75
isomap,joueurs_ligue1_ISOMap_custom,1.697009185702565,20,,,,1,46
isomap,joueurs_ligue1_ISOMap_custom,1.7846894534809383,20,,,,1,38
isomap,joueurs_ligue1_ISOMap_custom,1.8723697212593118,20,,,,1,26
isomap,joueurs_ligue1_ISOMap_custom,1.9600499890376852,20,,,,1,22
isomap,joueurs_ligue1_ISOMap_custom,2.0477302568160587,20,,,,1,14
isomap,joueurs_ligue1_ISOMap_custom,2.135410524594432,20,,,,1,13
isomap,joueurs_ligue1_ISOMap_custom,2.2230907923728056,20,,,,1,8
isomap,joueurs_ligue1_ISOMap_custom,2.310771060151179,20,,,,1,8
isomap,joueurs_ligue1_ISOMap_custom,2.3984513279295525,20,,,,1,7
isomap,joueurs_ligue1_ISOMap_custom,2.486131595707926,20,,,,1,5
