method,tag,n_clusters_param,silhouette,calinski_harabasz,davies_bouldin,n_clusters
tsne,joueurs_ligue1_tSNE_custom,3,0.29293150399971074,159.42842438087328,1.24162201275656,3
tsne,joueurs_ligue1_tSNE_custom,4,0.2791591804237453,147.01831499632073,1.2031391171641195,4
tsne,joueurs_ligue1_tSNE_custom,5,0.2939858942118969,148.58005592025899,1.1821440566000578,5
tsne,joueurs_ligue1_tSNE_custom,6,0.2866966786978848,139.59293928825923,1.2028317013445373,6
tsne,joueurs_ligue1_tSNE_custom,7,0.2828330914618556,131.85834875878606,1.2295053479031066,7
tsne,joueurs_ligue1_tSNE_custom,8,0.2745615988591574,124.54767484699963,1.2065041297856254,8
tsne,joueurs_ligue1_tSNE_custom,9,0.26778117960380227,120.74607589322554,1.142333845552575,9
tsne,joueurs_ligue1_tSNE_custom,10,0.2687957474528221,118.86821949001595,1.1930376856421667,10
tsne,joueurs_ligue1_tSNE_custom,11,0.27247801133817595,116.0217492612544,1.1826636684899265,11
tsne,joueurs_ligue1_tSNE_custom,12,0.2712710132984732,112.05023777049458,1.1534780781391123,12
